Home_TeamID,Away_TeamID,Home_Teamname,Away_Teamname,Home_score,Away_score,Home_scorer,Away_scorer
43,44,Uzbekistan,Colombia,1,3,"{""Abas Bk Fiz Allh Af 60'""}","{""Dnil Mvnvz 40'"",""Lviiz Diaz 65'"",""Khamintvn Kampaz 90+9'""}"
47,48,Ghana,Panama,1,0,"{""Kalb Iirnki 90+5'""}",null
1,3,Mexico,South Korea,1,0,"{""Luis Romo 50'""}",null
8,6,Switzerland,Bosnia and Herzegovina,4,1,"{""Jvhan Mnzambi 74'"",""Rvbn Vargas 84'"",""Jvhan Mnzambi 90'""}","{""Armin Mhmich 90+3'""}"
5,7,Canada,Qatar,6,0,"{""Kail Larin 16'"",""Jonathan David 29'"",""Jonathan David 45+3'"",""Nathan Saliba 64'"",""Mohamed Almnai 75'"",""Jonathan David 90+2'""}",null
4,2,Czech Republic,South Africa,1,1,"{""‫mikhal Sadilk 6'""}",null
9,11,Brazil,Haiti,3,0,"{""Matheus Cunha 23'"",""Matheus Cunha 36'"",""Vinícius Júnior 45+3'""}",null
12,10,Scotland,Morocco,0,1,null,"{""Asmaail Saibari 2'""}"
13,15,United States,Australia,2,0,"{""Kamrvn Bargs 11'"",""Alex Freeman 43'""}",null
16,14,Turkey,Paraguay,0,1,null,"{""Matías Galarza 2'""}"
17,19,Germany,Ivory Coast,2,1,"{""Dniz Avndav 68'"",""Dniz Avndav 90+4'""}","{""Franck Kessié 30'""}"
